"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+6.27752937500E+008, -2.27396510928E-001, +0.00000000000E+000
+6.30252750000E+008, -2.27996016479E-001, +0.00000000000E+000
+6.32752562500E+008, -2.27811776028E-001, +0.00000000000E+000
+6.35252375000E+008, -2.27333754783E-001, +0.00000000000E+000
+6.37752187500E+008, -2.26859780545E-001, +0.00000000000E+000
+6.40252000000E+008, -2.28381274137E-001, +0.00000000000E+000
+6.42751812500E+008, -2.28899034342E-001, +0.00000000000E+000
+6.45251625000E+008, -2.28585182255E-001, +0.00000000000E+000
+6.47751437500E+008, -2.30266750295E-001, +0.00000000000E+000
+6.50251250000E+008, -2.29855185331E-001, +0.00000000000E+000
+6.52751062500E+008, -2.29682331876E-001, +0.00000000000E+000
+6.55250875000E+008, -2.30802870502E-001, +0.00000000000E+000
+6.57750687500E+008, -2.31949320255E-001, +0.00000000000E+000
+6.60250500000E+008, -2.32190841696E-001, +0.00000000000E+000
+6.62750312500E+008, -2.33208792972E-001, +0.00000000000E+000
+6.65250125000E+008, -2.34569742077E-001, +0.00000000000E+000
+6.67749937500E+008, -2.35775944277E-001, +0.00000000000E+000
+6.70249750000E+008, -2.34771198622E-001, +0.00000000000E+000
+6.72749562500E+008, -2.36835679672E-001, +0.00000000000E+000
+6.75249375000E+008, -2.36909742967E-001, +0.00000000000E+000
+6.77749187500E+008, -2.38898469216E-001, +0.00000000000E+000
+6.80249000000E+008, -2.38954434654E-001, +0.00000000000E+000
+6.82748812500E+008, -2.39856315381E-001, +0.00000000000E+000
+6.85248625000E+008, -2.40790485483E-001, +0.00000000000E+000
+6.87748437500E+008, -2.41705118676E-001, +0.00000000000E+000
+6.90248250000E+008, -2.41517696569E-001, +0.00000000000E+000
+6.92748062500E+008, -2.41865868633E-001, +0.00000000000E+000
+6.95247875000E+008, -2.43978310436E-001, +0.00000000000E+000
+6.97747687500E+008, -2.46694391669E-001, +0.00000000000E+000
+7.00247500000E+008, -2.44322103402E-001, +0.00000000000E+000
+7.02747312500E+008, -2.46231449437E-001, +0.00000000000E+000
+7.05247125000E+008, -2.48197764822E-001, +0.00000000000E+000
+7.07746937500E+008, -2.46903190323E-001, +0.00000000000E+000
+7.10246750000E+008, -2.47252942055E-001, +0.00000000000E+000
+7.12746562500E+008, -2.46670967219E-001, +0.00000000000E+000
+7.15246375000E+008, -2.49939596089E-001, +0.00000000000E+000
+7.17746187500E+008, -2.49088390687E-001, +0.00000000000E+000
+7.20246000000E+008, -2.48547395258E-001, +0.00000000000E+000
+7.22745812500E+008, -2.49086065132E-001, +0.00000000000E+000
+7.25245625000E+008, -2.50352210105E-001, +0.00000000000E+000
+7.27745437500E+008, -2.50386278234E-001, +0.00000000000E+000
+7.30245250000E+008, -2.50501450059E-001, +0.00000000000E+000
+7.32745062500E+008, -2.49639587180E-001, +0.00000000000E+000
+7.35244875000E+008, -2.49364524155E-001, +0.00000000000E+000
+7.37744687500E+008, -2.49893422761E-001, +0.00000000000E+000
+7.40244500000E+008, -2.51491995581E-001, +0.00000000000E+000
+7.42744312500E+008, -2.50777680727E-001, +0.00000000000E+000
+7.45244125000E+008, -2.49972971167E-001, +0.00000000000E+000
+7.47743937500E+008, -2.52079556391E-001, +0.00000000000E+000
+7.50243750000E+008, -2.51100046467E-001, +0.00000000000E+000
+7.52743562500E+008, -2.51134673037E-001, +0.00000000000E+000
+7.55243375000E+008, -2.51883986046E-001, +0.00000000000E+000
+7.57743187500E+008, -2.52357029222E-001, +0.00000000000E+000
+7.60243000000E+008, -2.54194278703E-001, +0.00000000000E+000
+7.62742812500E+008, -2.55664311007E-001, +0.00000000000E+000
+7.65242625000E+008, -2.55152408530E-001, +0.00000000000E+000
+7.67742437500E+008, -2.55400915325E-001, +0.00000000000E+000
+7.70242250000E+008, -2.56188914956E-001, +0.00000000000E+000
+7.72742062500E+008, -2.55205278981E-001, +0.00000000000E+000
+7.75241875000E+008, -2.58503471562E-001, +0.00000000000E+000
+7.77741687500E+008, -2.57449436172E-001, +0.00000000000E+000
+7.80241500000E+008, -2.59631635185E-001, +0.00000000000E+000
